PartNumber,Description,ItemStatus,SalesUnit,Authorization,PriceGroup,PriceGroupDescription,ProductLifeCycleManagement,ItemClass
VOLTA55A                      ,"55"" VOLTA XTREME HIGH BRIGHT OUTDOOR DISPLAY",Active,EA,,ET DD,ET Dealer / Distributor Pricing,,VLTA STAND               
LCT100S                       ,"Desktop Monitor Mount For up to 38"" Monitors",Active,EA,False,CORE,Mounts,Active,FPSS STANDETAIL          
941-11001                     ,11GA TUBE ROUND DOM 1.562 OD X 204.000 to 288.000,Active,FT,,PRO,Professional Sales Price Group,,TBNG                     
521-0684                      ,"M6 X 12MM SKT PIN 18-8 SS, Blk Ox",Active,EA,,PRO,Professional Sales Price Group,,FAST                HW   
520-0878                      ,"SCREW, M6 X 16MM PHIL FLT, 18-8 SS",Active,EA,,PRO,Professional Sales Price Group,,FAST                HW   
590-1209                      ,"BUTTON BUMPER, 3169-003",Active,EA,,PRO,Professional Sales Price Group,,PP                  MISC 
560-0400                      ,"PEM SELFCLNCH M6x1 NUT,  SS  CLS-M6-1 from McMaster Carr",Active,EA,,KIOSK,Kiosks,,FAST                NUT  
561-0066                      ,PEM STUD M6X30MM,Active,EA,,KIOSK,Kiosks,,PP                  MISC 
FMAL                          ,FM 600X400 Articulating Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMAM                          ,FM 400X400 Articulating Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMAS                          ,FM 100x100 Articulating Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMFL                          ,FM 600X400 Flat Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMTL                          ,FM 600x400 Tilt Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
FMTM                          ,FM 400X400 Tilt Wall Mount,Active,EA,,CONS,Consumer,Active,FPSS STANDETAIL          
009-0001                      ,BACK PLATE,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
009-0020                      ,FAB CLAMP FOR PLASMA CRT TRAY,Active,EA,,PRO,Professional Sales Price Group,,FAB                 LASER
009-0193                      ,TOP SHELF FOR JCT-P2854E,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0200                      ,BACK PANEL FOR JCT-P2854CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0201                      ,SIDE PANEL FOR JCT-P2854CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
009-0202                      ,DOOR PANEL FOR JCT-P2854CE,Active,EA,,PRO,Professional Sales Price Group,,PP                       
