Action,PartNumber,Name,Description,IsActive,ItemStatus,SalesUnit,Authorization,PriceGroup,PLCM,Category,SF_Id
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, Category__c)",VOLTA55A,VOLTA55A,"55"" VOLTA XTREME HIGH BRIGHT OUTDOOR DISPLAY",True,Active,EA,False,ET DD,,KIOSK,01t6A000002ZbsxQAC
"UPDATE (QuantityUnitOfMeasure, Sales_Part_Status__c)",LCT100S,LCT100S,"Desktop Monitor Mount For up to 38"" Monitors",True,Active,EA,False,CORE,Active,MOUNT,01t6A000000as7kQAA
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",560-0400,560-0400,"PEM SELFCLNCH M6x1 NUT,  SS  CLS-M6-1 from McMaster Carr",True,Active,EA,False,KIOSK,,,01t2K000006S2ISQA0
"UPDATE (IsActive, QuantityUnitOfMeasure, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",561-0066,561-0066,PEM STUD M6X30MM,True,Active,EA,False,KIOSK,,,01t2K000006S2NoQAK
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMAL,FMAL,FM 600X400 Articulating Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPdHQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMAM,FMAM,FM 400X400 Articulating Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPaIQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMAS,FMAS,FM 100x100 Articulating Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPdIQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMFL,FMFL,FM 600X400 Flat Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPaJQAW
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMTL,FMTL,FM 600x400 Tilt Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPcqQAG
"UPDATE (QuantityUnitOfMeasure, ACU_Item_Status__c, Sales_Part_Status__c, ACU_PMPLCM__c, Category__c)",FMTM,FMTM,FM 400X400 Tilt Wall Mount,True,Active,EA,False,CONS,Active,MOUNT,01t6A000002ZPcHQAW
