PartNumber,ItemClass
560-0400,FAST                NUT
561-0066,PP                  MISC
125-1006,FAB                 PAINT
128-0027,FAB                 PUNCH
1450-203,FAB                 PUNCH
1450-204,FAB                 PUNCH
1455-406,FAB                 PUNCH
2245-308,FAB                 PUNCH
47475234,APNS
520-2237,FAST                HW
550-0001,FAST                RIVET
565-0052,FAST                MISC
600-0050,PP                  MISC
ACC-M440,APNS
ACC020,APNS
ACC050,APNS
ACC109,APNS
ACC210,APNS
ACC215,APNS
ACC234,APNS
ACC244,APNS
ACC957,APNS
SPK26,APNS
WMJ018,APNS
WMJ022,APNS
WSP700,APNS
WSP701,APNS
ACC-FV,APNS
ACC-V,APNS
128-0039,FAB                 WELD
2PT-22CA01B,FAB                 PUNCH
510-9150,FAST                HW
520-2250,FAST                HW
530-2022,FAST                NUT
083-0016,FAB                 ASSYP
090-8614,FAST
095-8823,FAST
145-8029-2,FAST
145-8093-1,FAST
145-8109,FAST
145-8120,FAST
146-1889,FAB                 PAINT
146-1891,FAB                 PAINT
146-8005,FAST
146-T1802,FAB                 PAINT
180-0642,PP                  ELECT
180-W1608,FAB                 ASSYP
180-W1610L,PP                  ELECT
180-W1615-1,FAB                 PAINT
180-W1622,FAB                 ASSYP
180-W1661-1,FAB                 ASSYP
180-W1662-1,FAB                 ASSYP
180-W1666,FAB                 PAINT
180-W1667,FAB                 PAINT
202-T1854,FAB                 PAINT
410-0034,PP                  ELECT
410-0151,PP                  ELECT
410-0158,PP                  ELECT
520-9501,FAST                HW
540-0714,FAST                WASH
560-0926,PP                  MISC
560-1861,PP                  MISC
561-0063,PP                  MISC
565-0049A,FAST                MISC
565-0053A,PP                  MISC
565-0056A,PP                  MISC
565-0059A,PP                  MISC
570-1135,PP                  MISC
570-1137,PP                  MISC
580-1520,PP                  MISC
591-1027,PP                  MISC
981-0800,CARTN               BOXES
981-0914,CARTN               BOXES
981-1001,CARTN               BOXES
981-2708,CARTN               BOXES
981-3003,CARTN               BOXES
982-0673,CARTN               INSRT
982-0674,CARTN               INSRT
982-0690,CARTN               INSRT
982-2411,CARTN               INSRT
983-1754-1,PP                  LABEL
CL-DVL200,PP                  MISC
JELCO CASE,PP
180-W1635,FAB                 PAINT
180-W1673-5,FAB                 ASSYP
210-9050,FAST
410-0058,PP                  ELECT
410-0145-1,PP                  ELECT
410-0146,PP                  ELECT
410-0155-UL,PP                  ELECT
410-1032,PP                  ELECT
410-1088-R,FAST
410-1090-R,FAST
410-1096-R,FAST
410-1098,PP                  ELECT
410-1100-R,FAST
410-1101,PP                  ELECT
410-1102,PP                  ELECT
410-1202,PP                  ELECT
410-1203,PP                  ELECT
560-0931,PP                  MISC
591-1019,PP                  MISC
591-1020,PP                  MISC
981-3019,CARTN               BOXES
981-3020,CARTN               BOXES
981-3021,CARTN               BOXES
981-3022,CARTN               BOXES
981-3023,CARTN               BOXES
981-3024,CARTN               BOXES
982-1986,CARTN               INSRT
982-1987,CARTN               INSRT
982-1988,CARTN               INSRT
982-1989,CARTN               INSRT
982-1990,CARTN               INSRT
ECN38039,ET   CUSTM
091-1036,FAB                 ASSYP
125-1545,FAB                 PAINT
146-4806,FAB                 PAINT
146-T1321,FAB                 PAINT
201-P1090,FAB                 PAINT
201-T1945,FAB                 PAINT
202-1532,FAB                 ASSYP
565-0058A,FAST                MISC
981-0913,CARTN               BOXES
981-2905,CARTN               RETBX
981-1019,CARTN               BOXES
125-0611,PP
150-0016,FAB                 LASER
150-0029,FAB                 LASER
150-0040,FAB                 WELD
150-0105,FAB                 PRESS
150-0106,FAB                 PRESS
150-0113,FAB                 LASER
150-0190,FAB                 COMBO
150-0379,FAB                 LASER
150-4019,FAB                 PAINT
150-4032,FAB                 PAINT
150-4038,FAB                 PAINT
150-4039,FAB                 PAINT
150-4125,FAB                 PAINT
150-4378,FAB                 PAINT
150-4580P,FAB                 PAINT
150-4934,FAB                 PAINT
150-6316,FAB                 PAINT
150-P1030,FAB                 PAINT
150-P1038,FAB                 PAINT
150-P1039,FAB                 PAINT
150-P1379,FAB                 PAINT
150-P1580P,FAB                 PAINT
150-T1005,FAB                 PAINT
150-T1013,FAB                 PAINT
150-T1105,FAB                 PAINT
150-T1106,FAB                 PAINT
150-T1113,FAB                 PAINT
151-0498,PP
151-0693P,FAB                 COMBO
151-0715P,FAB                 LASER
151-4553,FAB                 PAINT
151-4554,FAB                 PAINT
151-4555,FAB                 PAINT
151-4556,FAB                 PAINT
151-4559,FAB                 PAINT
151-4573,FAB                 PAINT
151-6713P,FAB                 PAINT
151-6715P,FAB                 PAINT
151-P1268,FAB                 PAINT
151-P1274,FAB                 PAINT
151-P1275,FAB                 PAINT
151-P1280P,FAB                 PAINT
151-P1553,FAB                 PAINT
151-P1554,FAB                 PAINT
151-P1555,FAB                 PAINT
151-P1556,FAB                 PAINT
