Object,ComboKey,PriceListSFID,ProductSFID,AccountSFID,ExistingRecordID,CurrentPrice,NewPrice,Action,SFResult,FailureReason
Price_List_Entry__c,LCT100S - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000as7kQAA,,a1W2K00000FiRm1UAF,83.8,83.800000,UPDATE,,
Price_List_Entry__c,LCT100S - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000as7kQAA,,a1W2K00000FiRlzUAF,66.15,66.150000,UPDATE,,
Price_List_Entry__c,LCT100S - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000as7kQAA,,a1W2K00000FiRm2UAF,62.84,62.840000,UPDATE,,
Price_List_Entry__c,LCT100S - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000as7kQAA,,a1W2K00000FiRm0UAF,59.53,59.530000,UPDATE,,
Price_List_Entry__c,ACC-FLIP65 - COREDEAL - USD,a1U2K000009nrmJUAQ,01t2K000006WSOPQA4,,a1W2K00000GaZBnUAN,77.39,77.390000,UPDATE,,
Price_List_Entry__c,ACC-FLIP65 - COREPART - USD,a1U2K000009nrmLUAQ,01t2K000006WSOPQA4,,a1W2K00000GaZBoUAN,61.37,61.370000,UPDATE,,
Price_List_Entry__c,ACC-FLIP65 - COREDIST - USD,a1U2K000009nrmMUAQ,01t2K000006WSOPQA4,,a1W2K00000GaZBpUAN,58.7,58.700000,UPDATE,,
Price_List_Entry__c,ACC-FLIP65 - CORESPEC - USD,a1U2K000009nrmKUAQ,01t2K000006WSOPQA4,,a1W2K00000GaZBqUAN,56.03,56.030000,UPDATE,,
Price_List_Entry__c,ACC-HPF650 - HOSPDEAL - USD,a1U2K000009nrmhUAA,01t6A000000ardlQAA,,a1W2K00000FiRCSUA3,68.88,68.880000,UPDATE,,
Price_List_Entry__c,ACC-HPF650 - HOSPPART - USD,a1U2K000009nrm3UAA,01t6A000000ardlQAA,,a1W2K00000FiRCVUA3,54.4,54.400000,UPDATE,,
Price_List_Entry__c,ACC-HPF650 - HOSPDIST - USD,a1U2K000009nrm4UAA,01t6A000000ardlQAA,,a1W2K00000FiRCTUA3,51.67,51.670000,UPDATE,,
Price_List_Entry__c,ACC-HPF650 - HOSPSPEC - USD,a1U2K000009nrm5UAA,01t6A000000ardlQAA,,a1W2K00000FiRCUUA3,48.95,48.950000,UPDATE,,
Price_List_Entry__c,ACC-LGOLED - COREDEAL - USD,a1U2K000009nrmJUAQ,01t6A000000arA7QAI,,a1W2K00000FiRUMUA3,55.58,55.580000,UPDATE,,
Price_List_Entry__c,ACC-LGOLED - COREPART - USD,a1U2K000009nrmLUAQ,01t6A000000arA7QAI,,a1W2K00000FiRULUA3,43.88,43.880000,UPDATE,,
Price_List_Entry__c,ACC-LGOLED - COREDIST - USD,a1U2K000009nrmMUAQ,01t6A000000arA7QAI,,a1W2K00000FiRUOUA3,41.69,41.690000,UPDATE,,
Price_List_Entry__c,ACC-LGOLED - CORESPEC - USD,a1U2K000009nrmKUAQ,01t6A000000arA7QAI,,a1W2K00000FiRUNUA3,39.49,39.490000,UPDATE,,
Price_List_Entry__c,ACC-M835 - HOSPDEAL - USD,a1U2K000009nrmhUAA,01t6A000000aqr7QAA,,a1W2K00000FiRCYUA3,8.57,8.570000,UPDATE,,
Price_List_Entry__c,ACC-M835 - HOSPPART - USD,a1U2K000009nrm3UAA,01t6A000000aqr7QAA,,a1W2K00000FiRCZUA3,6.77,6.770000,UPDATE,,
